Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Originalspeciesprovided,Core,Control,Treatment,Percentchange,Log2fold.change,All.Logs,Type,Sig,,,,
Motta and Moran,2020,Fig. S1F,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,6.088560886,15.16605166,1.4909090909,,1.316672369,Comp,All,,,,
Motta and Moran,2020,Fig. S2O,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,181502.7664,451671.133,1.4885082581,,1.315281175,Noncomp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,,Y,19.468,47.862,1.4584959934,,1.297776004,Comp,All,,,,
Motta et al ,2020,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1845810.237,4515192.378,1.4461844924,,1.290533217,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.869565217,2.111801242,1.4285714286,,1.280107919,Comp,All,,,,
Paris et al ,2020,Fig. S5,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,,N,1.272534464,3.075291622,1.4166666667,,1.273018494,Comp,All,,,,
Motta et al ,2020,Fig. S4H,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1399804.598,3373571.256,1.4100301288,,1.269051182,Noncomp,All,,,,
Motta et al ,2020,Fig. S4I,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1827.699369,4393.970561,1.4040991835,,1.265496417,Noncomp,All,,,,
Motta et al ,2020,Fig. S6C,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,283713.2255,675838.5057,1.3821184388,,1.252245146,Noncomp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,20 mg/L,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,,,N,0.757,1.798,1.3750000000,,1.247927513,Comp,All,,,,
Motta et al ,2020,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,2251738.667,5328668.521,1.3664684535,,1.24273569,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1E,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.17610063,0.41509434,1.3571428428,,1.237039189,Comp,All,,,,
Motta et al ,2020,Fig. S4D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,1984168.511,4635681.315,1.3363344846,,1.224246834,Noncomp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,1187096.774,2761290.323,1.3260869565,,1.21790503,Noncomp,All,,,,
Motta et al ,2020,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,606348.787,1393089.624,1.2975054195,,1.200068265,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2C,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,239418.347,547468.5829,1.2866609426,,1.193242464,Noncomp,All,,,,
Kakumanu et al,2016,Fig. 2,Chlorothalonil,Fungicide,6 weeks,10 ppb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,,N,1.58,3.61,1.2848101266,,1.192074279,Comp,All,,,,
Motta et al ,2020,Fig. 6C,Roundup,Herbicide formulation,1 topical treatment,3.00%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,1337352.356,3055271.676,1.2845674602,,1.191921044,Noncomp,All,,,,
Motta et al ,2020,Fig. S4L,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,0.00040513,0.000916274,1.2616759492,,1.177392236,Noncomp,All,,,,
Motta et al ,2020,Fig. S5I,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,1235387.716,2791911.447,1.2599475537,,1.176289293,Noncomp,All,,,,
Motta et al ,2020,Fig. S6C,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,606348.787,1368124.608,1.2563327202,,1.173979824,Noncomp,All,,,,
Motta et al ,2020,Fig. S6B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1896510.588,4259836.9,1.2461445394,,1.167450768,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1N,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.961077844,4.386227545,1.2366412214,,1.161333853,Comp,All,,,,
Paris et al ,2020,Fig. 3,Fipronil ,Insecticide,17 days,0.5 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,,N,2.160864346,4.801920768,1.2222222222,,1.152003093,Comp,All,,,,
Motta et al ,2020,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1564028.29,3463923.924,1.2147450567,,1.147140637,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2K,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,544553.5695,1205641.737,1.2140002469,,1.146655383,Noncomp,All,,,,
Motta and Moran,2020,Fig. 4B,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,2379417.154,5255187.735,1.2086029457,,1.14313408,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1G,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.050235479,8.85400314,1.1860465116,,1.128324097,Comp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,607832.3128,1323188.207,1.1768967844,,1.122273005,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1O,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,5.113500597,11.03942652,1.1588785047,,1.110282055,Comp,All,,,,
Motta and Moran,2020,Fig. S2G,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,959804.1603,2071373.195,1.1581206675,,1.109775533,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2D,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,190546.072,410519.0671,1.1544346877,,1.107309363,Noncomp,All,,,,
Motta et al ,2020,Fig. S5B,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,3181890.601,6842753.044,1.1505305815,,1.104692647,Noncomp,All,,,,
Motta et al ,2020,Fig. S6B,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1332295.739,2863314.217,1.1491581279,,1.103771635,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1E,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.17610063,0.377358491,1.1428571298,,1.099535665,Comp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,1.10,1.10,Comp,All,,,,
Motta et al ,2020,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,522165.5541,1113205.498,1.1319014417,,1.092140744,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1M,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.875407166,1.864820847,1.1302325581,,1.091010939,Comp,All,,,,
Motta and Moran,2020,Fig. S2I,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,7442258.404,15797705.91,1.1227032236,,1.085902681,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2081544.262,4377796.86,1.1031485801,,1.072550775,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,20 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1728495.135,3635282.088,1.1031485801,,1.072550775,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.48136646,1.00931677,1.0967741935,,1.068171503,Comp,All,,,,
Motta et al ,2020,Fig. S5B,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1967331.416,4119293.354,1.0938482054,,1.066156857,Noncomp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,,N,,,,1.06,1.06,Comp,All,,,,
Motta and Moran,2020,Fig. S2N,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1142672.131,2370211.237,1.0742706264,,1.052604132,Noncomp,All,,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,6.245756959,12.89884589,1.0652173913,,1.046293652,Comp,All,,,,
Motta et al ,2018,Fig. S3B,Glyphosate,Herbicide,"Feeding (5 µL), then two days, then fed again, then sampled after another two days",1 mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,925373,1910447,1.0645156061,,1.045803324,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,703936.7395,1435326.399,1.0389991295,,1.027861159,Noncomp,All,,,,
Motta et al ,2020,Fig. S6D,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,4565740.16,9282977.385,1.0331812717,,1.023738847,Noncomp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,,,unclassified Orbales,,Y,3.3,6.7,1.0303030303,,1.021695071,Comp,All,,,,
Motta and Moran,2020,Fig. S2G,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,959804.1603,1947745.878,1.0293159363,,1.02099349,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2M,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,3199775.096,6490627.559,1.0284636777,,1.020387469,Noncomp,All,,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,0.050828729,0.102762431,1.0217391304,,1.015596855,Comp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,1187096.774,2400000,1.0217391304,,1.015596855,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2K,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,245959.1277,495942.6658,1.0163621101,,1.01175475,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2L,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,38151.58673,76565.58647,1.0068781677,,1.004953037,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.48136646,0.962732919,1.0000000000,,1,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.100917431,2.201834862,1.0000000000,,1,Comp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0.070080863,0.140161725,1.0000000000,,1,Comp,All,,,,
Motta et al ,2020,Fig. S6G,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,270005.4616,539543.1011,0.9982673608,,0.998749623,Noncomp,All,,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,7.5 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,0.9935,0.9935,Noncomp,All,,,,
Motta et al ,2020,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,606348.787,1205457.303,0.9880592311,,0.99136074,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1P,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3.692493947,7.324455206,0.9836065574,,0.9881259,Comp,All,,,,
Motta and Moran,2020,Fig. S2M,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1653598.365,3276109.143,0.9812000380,,0.986374554,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,703936.7395,1391546.611,0.9768063414,,0.983171544,Noncomp,All,,,,
Paris et al ,2020,Fig. 3,Fipronil ,Insecticide,17 days,0.5 µg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,4.801920768,9.483793517,0.9750000000,,0.981852653,Comp,All,,,,
Motta et al ,2020,Fig. S6B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1896510.588,3731513.215,0.9675678268,,0.97641337,Noncomp,All,,,,
Motta et al ,2020,Fig. S6B,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1896510.588,3731513.215,0.9675678268,,0.97641337,Noncomp,All,,,,
Motta et al ,2020,Fig. 3C,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,174340.0828,342391.108,0.9639264967,,0.973740935,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,20 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2.311926606,4.513761468,0.9523809524,,0.965234582,Comp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,20 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1.257763975,2.453416149,0.9506172840,,0.963930745,Comp,All,,,,
Motta and Moran,2020,Fig. S2J,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,10198067.63,19711465.29,0.9328627753,,0.950739216,Noncomp,All,,,,
Rouze et al ,2019,Fig. 2F,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.9419,0.9419,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1M,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1.583876221,3.037459283,0.9177377892,,0.939405475,Comp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2081544.262,3989301.506,0.9165105344,,0.938481928,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,20 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1728495.135,3312679.134,0.9165105344,,0.938481928,Noncomp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,0.012365591,0.023655914,0.9130434783,,0.935869663,Comp,All,,,,
Motta et al ,2020,Fig. 6C,Roundup,Herbicide formulation,1 topical treatment,1.00%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,1337352.356,2542819.977,0.9013837041,,0.927049701,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1P,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,6.719128329,12.77239709,0.9009009009,,0.926683322,Comp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.434782609,0.822981366,0.8928571429,,0.920565533,Comp,All,,,,
Motta and Moran,2020,Fig. S2J,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,11471632.16,21657322.82,0.8879024804,,0.916784244,Noncomp,All,,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,Alpha 2.1,,N,2.143482065,4.041994751,0.8857142857,,0.915111102,Comp,All,,,,
Motta and Moran,2020,Fig. S1P,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3.692493947,6.96125908,0.8852459016,,0.914752713,Comp,All,,,,
Motta et al ,2020,Fig. S6D,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5925414.542,11125092.86,0.8775214426,,0.908829384,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1323188.207,2465425.547,0.8632463119,,0.897818404,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2F,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,607832.3128,1132541.315,0.8632463119,,0.897818404,Noncomp,All,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Alpha_2.1,,,N,,,,0.90,0.90,Comp,All,,,,
Motta et al ,2020,Fig. S4H,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,18131.21744,33735.71256,0.8606424342,,0.895800835,Noncomp,All,,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,0.240883978,0.447513812,0.8577981651,,0.893593773,Comp,All,,,,
Motta and Moran,2020,Fig. S1P,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,6.719128329,12.46973366,0.8558558559,,0.892084661,Comp,All,,,,
Motta and Moran,2020,Fig. S1G,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.180533752,9.607535322,0.8545454545,,0.891065628,Comp,All,,,,
Motta and Moran,2020,Fig. S2C,Glyphosate,Herbicide,20 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,600164.7858,1107505.516,0.8453357183,,0.883883307,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2J,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,11471632.16,21153552.12,0.8439880064,,0.882829272,Noncomp,All,,,,
Motta and Moran,2020,Fig. S2K,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,544553.5695,1000000,0.8363666240,,0.876854116,Noncomp,All,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0.074123989,0.134770889,0.8181818182,,0.862496476,Comp,All,,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,20 mg/L,Bacteria,Bacteroidetes,Bacteroidia,,,,,,N,7.758,14.002,0.8048780488,,0.851901361,Comp,All,,,,
Motta and Moran,2020,Fig. S2E,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2081544.262,3749652.588,0.8013801847,,0.849102697,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1Q,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0.490196078,0.882352941,0.8000000000,,0.847996907,Comp,All,,,,
Motta and Moran,2020,Fig. S2O,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,181502.7664,325604.4677,0.7939366667,,0.843128958,Noncomp,All,,,,
Motta et al ,2020,Fig. S4L,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,0.00034013,0.00060927,0.7912844546,,0.840994454,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1D,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1.257763975,2.251552795,0.7901234568,,0.840059087,Comp,All,,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0.036464088,0.06519337,0.7878787879,,0.83824893,Comp,All,,,,
