Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Original Species Provided,Core,Control,Treatment,Percent Change,Log2fold.change,All.Logs,result,Type,Sig,Extra Information About Effect Size,,,
Motta et al ,2020b,Fig. S1O,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,6.451612903,11.23058542,0.7407407407,,0.79970135,Increase,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S1F,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,12.73062731,22.1402214,0.7391304348,,0.798366139,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1O,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,8.028673835,13.95459976,0.7380952381,,0.797507136,Increase,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2D,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,493552.4741,857695.8986,0.7378008287,,0.797262743,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1P,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3.692493947,6.416464891,0.7377049180,,0.797183117,Increase,Comp,All,Late exposure,,,
Motta et al ,2020a,Fig. S6D,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5201336.669,9017967.714,0.7337788896,,0.793919922,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.180533752,8.948194662,0.7272727273,,0.788495895,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.803767661,8.288854003,0.7254901961,,0.787006277,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.803767661,8.288854003,0.7254901961,,0.787006277,Increase,Comp,All,Early exposure,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,Alpha 2.1,,N,0.007526882,0.012903226,0.7142857143,,0.777607579,Increase,Comp,All,Day 3,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0.070080863,0.119946092,0.7115384615,,0.775293713,Increase,Comp,All,Day 3,,,
Motta et al ,2020b,Fig. S2L,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,38151.58673,65079.6754,0.7058183153,,0.770463995,Increase,Noncomp,All,Late exposure,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,0.134071082,0.227851373,0.6994818653,,0.765094967,Increase,Comp,All,Day 0 post exposure,,,
Liu et al ,2019,Fig. S3C,Thiacloprid,Insecticide,13 days,2.0 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,19086021.51,32258064.52,0.6901408451,,0.757143476,Increase,Noncomp,All,,,,
Motta et al ,2020b,Fig. S2A,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,2590200.205,4365158.322,0.6852590448,,0.752970368,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2D,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,75857.7575,127839.9719,0.6852590448,,0.752970368,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,125828.283,211807.9956,0.6833099085,,0.751300811,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,600164.7858,1010263.331,0.6833099085,,0.751300811,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2018,Fig. S4B,Glyphosate,Herbicide,5 days,0.1 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,276562,464062,0.6779673274,,0.746714625,Increase,Noncomp,All,RNA,,,
Rouze et al ,2019,Fig. 2H,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.7365,0.7365,Increase,Noncomp,All,summer,,,
Motta et al ,2020a,Fig. S4G,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,871667.5472,1438449.888,0.6502276503,,0.722665059,Increase,Noncomp,All,Week 0 ,,,
Motta et al ,2018,Fig. S7,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,25354330.71,41732283.46,0.6459627329,,0.718931671,Increase,Noncomp,All,Day 0,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,25.93346911,42.66802444,0.6452879581,,0.718340106,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S1D,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.48136646,0.791925466,0.6451612903,,0.718229032,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1D,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.48136646,0.791925466,0.6451612903,,0.718229032,Increase,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,507032.7024,833418.8316,0.6437181025,,0.716962898,Increase,Noncomp,All,Week 0 ,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,20 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,989795.9148,1619399.945,0.6360947960,,0.710256341,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,24.08127013,39.39307177,0.6358386235,,0.710030432,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,125828.283,2.05E+05,0.6325267659,,0.707106645,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2L,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,38151.58673,62126.56056,0.6284135440,,0.703467126,Increase,Noncomp,All,Late exposure,,,
Motta et al ,2020a,Fig. S5F,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,67386.27168,109167.9709,0.6200328073,,0.696023029,Increase,Noncomp,All,Week 1,,,
Rouze et al ,2019,Fig. 2F,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.6929,0.6929,Increase,Noncomp,All,winter,,,
Motta et al ,2020a,Fig. S5G,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,813568.7625,1313044.878,0.6139322678,,0.690580034,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S5D,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5282451.769,8483007.015,0.6058844238,,0.683368065,Increase,Noncomp,All,Week 3,,,
Rouze et al ,2019,Fig. 2H,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.6805,0.6805,Increase,Noncomp,All,summer,,,
Motta et al ,2020b,Fig. S2M,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,1653598.365,2649770.075,0.6024266422,,0.680258313,Increase,Noncomp,All,Late exposure,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0.074123989,0.118598383,0.6000000000,,0.678071905,Increase,Comp,All,Day 0,,,
Motta et al ,2020a,Fig. 5B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,1855236.694,2963087.853,0.5971481493,,0.675498141,Increase,Noncomp,All,Week 0 ,,,
Motta et al ,2020b,Fig. S1N,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.961077844,3.128742515,0.5954198473,,0.673936131,Increase,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2F,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1323188.207,2110203.429,0.5947870583,,0.673363803,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2018,Fig. S3,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,3367346.939,5368916.797,0.5944055944,,0.673018677,Increase,Noncomp,All,Day 0,,,
Motta et al ,2020b,Fig. S1M,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.875407166,1.388436482,0.5860465116,,0.665435079,Increase,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,20 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,600164.7858,950226.3099,0.5832756808,,0.66291248,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,239418.347,379065.2463,0.5832756808,,0.66291248,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,20 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,600164.7858,950226.3099,0.5832756808,,0.66291248,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,20 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.180533752,8.19466248,0.5818181818,,0.661583782,Increase,Comp,All,Early exposure,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,7.5 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,0.6581,0.6581,Increase,Noncomp,All,summer,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,Alpha 2.1,,N,0.007526882,0.011827957,0.5714285714,,0.652076697,Increase,Comp,All,Day 3,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,,,,0.65,0.64961505,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S1P,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.176755448,6.537530266,0.5652173913,,0.646363045,Increase,Comp,All,Late exposure,,,
Motta et al ,2018,Fig. S3B,Glyphosate,Herbicide,"Feeding (5 µL), then two days, then fed again, then sampled after another two days",1 mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,2119402,3313432,0.5633806140,,0.644669053,Increase,Noncomp,All,,,,
Motta et al ,2020a,Fig. S1C,Roundup,Herbicide formulation,5 days,1 mM ,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,31.98340911,50,0.5633105221,,0.644604371,Increase,Comp,All,,,,
Rouze et al ,2019,Fig. 2H,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.6432,0.6432,Increase,Noncomp,All,winter,,,
Rouze et al ,2019,Fig. 2E,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,Y,,,,0.6369,0.6369,Increase,Noncomp,All,winter,,,
Motta et al ,2020b,Fig. S2E,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2081544.262,3211637.035,0.5429107580,,0.625654619,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1P,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,3.692493947,5.690072639,0.5409836066,,0.623851514,Increase,Comp,All,Late exposure,,,
Motta et al ,2020a,Fig. S1C,Glyphosate,Herbicide,5 days,1 mM ,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,31.98340911,49.20612094,0.5384889322,,0.621514065,Increase,Comp,All,,,,
Motta et al ,2020a,Fig. S4B,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,Lactobacillus mellis,Y,200080.5255,307575.5486,0.5372588004,,0.620360066,Increase,Noncomp,All,Week 4,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,20 mg/L,Bacteria,Firmicutes,Clostridia,,,,,,N,7.758,11.921,0.5365853659,,0.619727919,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S1E,Glyphosate,Herbicide,20 days,0.07mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.572327044,2.41509434,0.5360000000,,0.619178216,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1D,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.434782609,0.667701863,0.5357142857,,0.618909833,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,239418.347,367629.3696,0.5355104331,,0.618718315,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1N,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.961077844,3.008982036,0.5343511450,,0.61762869,Increase,Comp,All,Late exposure,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,0.171270718,0.259668508,0.5161290323,,0.600392541,Increase,Comp,All,Apis mellifera,,,
Motta et al ,2020a,Fig. S4B,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,Lactobacillus mellis,Y,73700.40587,111735.9102,0.5160826983,,0.600348451,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.050235479,6.12244898,0.5116279070,,0.596103058,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2I,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,7442258.404,11245185.09,0.5109909491,,0.595495019,Increase,Noncomp,All,Late exposure,,,
Motta et al ,2020b,Fig. S1M,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.875407166,1.31514658,0.5023255814,,0.587197505,Increase,Comp,All,Late exposure,,,
Rouze et al ,2019,Fig. 2F,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.5871,0.5871,Increase,Noncomp,All,summer,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.002209945,0.003314917,0.5000000000,,0.584962501,Increase,Comp,All,Apis cerana,,,
Dai et al ,2018,Fig. 3B,Glyphosate,Herbicide,4 days,4 mg/L,Bacteria,Fusobacteria,Fusobacteriia,,,,,,N,0.378,0.568,0.5000000000,,0.584962501,Increase,Comp,All,,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.100917431,1.651376147,0.5000000000,,0.584962501,Increase,Comp,All,Early exposure,,,
Rouze et al ,2019,Fig. 2F,Fipronil,Insecticide,15 days,1 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.5809,0.5809,Increase,Noncomp,All,winter,,,
Motta et al ,2020b,Fig. S2D,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,75857.7575,113066.3398,0.4905046434,,0.57580087,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.050235479,6.028257457,0.4883720930,,0.573735245,Increase,Comp,All,Early exposure,,,
Motta et al ,2018,Fig. S3A,Glyphosate,Herbicide,"Feeding (5 µL), then two days, then fed again, then sampled after another two days",1 mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,2.8,4.16,0.4857142857,,0.571156701,Increase,Comp,All,,,,
Motta et al ,2018,Fig. S6,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,25354330.71,37637795.28,0.4844720497,,0.56994993,Increase,Noncomp,All,Day 0,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,3863912.515,5735115.431,0.4842767296,,0.569760094,Increase,Noncomp,All,Day 5 post exposure,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,586750.7886,870662.4606,0.4838709677,,0.569365646,Increase,Noncomp,All,Day 3,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,,,Y,0.201104972,0.298342541,0.4835164835,,0.569020957,Increase,Comp,All,Apis cerana,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,7417218.543,10993377.48,0.4821428571,,0.567684509,Increase,Noncomp,All,Day 0,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,0.240883978,0.355801105,0.4770642202,,0.562732553,Increase,Comp,All,Apis mellifera,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,,,,0.56,0.559103763,Increase,Comp,All,,,,
Motta et al ,2018,Fig. 1B,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,283911.6719,416403.7855,0.4666666667,,0.552541023,Increase,Noncomp,All,Day 0,,,
Motta et al ,2020a,Fig. S6B,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,4387049.392,6431417.592,0.4660007257,,0.551885818,Increase,Noncomp,All,Week 4,,,
Motta et al ,2018,Fig. S4A,Glyphosate,Herbicide,5 days,0.1 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,412500,604687,0.4659078788,,0.551794444,Increase,Noncomp,All,,,,
Liu et al ,2019,Fig. S3C,Thiacloprid,Insecticide,13 days,0.2 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,19086021.51,27956989.25,0.4647887324,,0.550692599,Increase,Noncomp,All,,,,
Motta et al ,2020b,Fig. S1E,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,1.572327044,2.301886792,0.4640000000,,0.549915554,Increase,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1625394.943,2373244.405,0.4601032298,,0.546070372,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020a,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1170828.137,1709529.944,0.4601032298,,0.546070372,Increase,Noncomp,All,Week 4,,,
Motta et al ,2020b,Fig. S1C,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,34.49920509,50.23847377,0.4562211982,,0.542229516,Increase,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S5D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,5907544.055,8595360.809,0.4549803995,,0.540999718,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020b,Fig. S2F,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,607832.3128,882969.9955,0.4526539259,,0.538691042,Increase,Noncomp,All,Early exposure,,,
Rouze et al ,2019,Fig. 2G,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.5373,0.5373,Increase,Noncomp,All,summer,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,20 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,989795.9148,1431864.772,0.4466262701,,0.532692256,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,959804.1603,1388477.912,0.4466262701,,0.532692256,Increase,Noncomp,All,Early exposure,,,
